nct_number,study_title,phases,study_status,enrollment,start_date,primary_completion_date,sponsor,collaborators,conditions,interventions,locations,location,institution,city,country
NCT04724018,Sacituzumab Govitecan Plus EV in Metastatic UC,PHASE1,ACTIVE_NOT_RECRUITING,24.0,2021-05-20,2025-10-01,Dana-Farber Cancer Institute,Gilead Sciences,Urothelial Cancer|Metastatic Urothelial Carcinoma|Metastatic Urothelial Carcinoma of the Renal Pelvis and Ureter|Bladder Cancer,DRUG: Sacituzumab Govitecan (SG)|DRUG: Enfortumab vedotin-ejfv (EV),"Dana Farber Cancer Institute, Boston, Massachusetts, 02215, United States","Dana Farber Cancer Institute, Boston, Massachusetts, 02215, United States",Dana Farber Cancer Institute,Boston,United States
NCT03375307,Testing Olaparib in Patients With Advanced or Metastatic (Cancer That Has Spread) Bladder Cancer and Other Genitourinary Tumors With DNA-Repair Genetic Changes,PHASE2,RECRUITING,150.0,2020-11-03,2025-12-16,National Cancer Institute (NCI),,Advanced Bladder Carcinoma|Advanced Genitourinary System Carcinoma|Metastatic Bladder Carcinoma|Metastatic Genitourinary System Carcinoma|Stage III Bladder Cancer AJCC v8|Stage IV Bladder Cancer AJCC v8,PROCEDURE: Biopsy Procedure|PROCEDURE: Biospecimen Collection|PROCEDURE: Bone Marrow Biopsy|PROCEDURE: Bone Scan|PROCEDURE: Computed Tomography|PROCEDURE: Magnetic Resonance Imaging|DRUG: Olaparib|PROCEDURE: Positron Emission Tomography,"UC San Diego Health System - Encinitas, Encinitas, California, 92024, United States|UCI Health - Chao Family Comprehensive Cancer Center and Ambulatory Care, Irvine, California, 92612, United States|UC San Diego Moores Cancer Center, La Jolla, California, 92093, United States|Los Angeles General Medical Center, Los Angeles, California, 90033, United States|USC / Norris Comprehensive Cancer Center, Los Angeles, California, 90033, United States|USC Norris Oncology/Hematology-Newport Beach, Newport Beach, California, 92663, United States|UC Irvine Health/Chao Family Comprehensive Cancer Center, Orange, California, 92868, United States|University of California Davis Comprehensive Cancer Center, Sacramento, California, 95817, United States|UC San Diego Medical Center - Hillcrest, San Diego, California, 92103, United States|UCHealth University of Colorado Hospital, Aurora, Colorado, 80045, United States|University of Kentucky/Markey Cancer Center, Lexington, Kentucky, 40536, United States|NCI - Center for Cancer Research, Bethesda, Maryland, 20892, United States|Laura and Isaac Perlmutter Cancer Center at NYU Langone, New York, New York, 10016, United States|NYP/Weill Cornell Medical Center, New York, New York, 10065, United States|University of Oklahoma Health Sciences Center, Oklahoma City, Oklahoma, 73104, United States|University of Texas Medical Branch, Galveston, Texas, 77555-0565, United States|Huntsman Cancer Institute/University of Utah, Salt Lake City, Utah, 84112, United States","UC San Diego Health System - Encinitas, Encinitas, California, 92024, United States|UCI Health - Chao Family Comprehensive Cancer Center and Ambulatory Care, Irvine, California, 92612, United States|UC San Diego Moores Cancer Center, La Jolla, California, 92093, United States|Los Angeles General Medical Center, Los Angeles, California, 90033, United States|USC / Norris Comprehensive Cancer Center, Los Angeles, California, 90033, United States|USC Norris Oncology/Hematology-Newport Beach, Newport Beach, California, 92663, United States|UC Irvine Health/Chao Family Comprehensive Cancer Center, Orange, California, 92868, United States|University of California Davis Comprehensive Cancer Center, Sacramento, California, 95817, United States|UC San Diego Medical Center - Hillcrest, San Diego, California, 92103, United States|UCHealth University of Colorado Hospital, Aurora, Colorado, 80045, United States|University of Kentucky/Markey Cancer Center, Lexington, Kentucky, 40536, United States|NCI - Center for Cancer Research, Bethesda, Maryland, 20892, United States|Laura and Isaac Perlmutter Cancer Center at NYU Langone, New York, New York, 10016, United States|NYP/Weill Cornell Medical Center, New York, New York, 10065, United States|University of Oklahoma Health Sciences Center, Oklahoma City, Oklahoma, 73104, United States|University of Texas Medical Branch, Galveston, Texas, 77555-0565, United States|Huntsman Cancer Institute/University of Utah, Salt Lake City, Utah, 84112, United States",UC San Diego Health System - Encinitas,Encinitas,United States
NCT00055835,"S0121, Neoadjuvant Carboplatin, Paclitaxel, and Gemcitabine Followed by Cisplatin and Radiation Therapy in Treating Patients With Locally Advanced or Recurrent Carcinoma of the Urothelium",PHASE2,COMPLETED,7.0,2002-11,2006-06,SWOG Cancer Research Network,National Cancer Institute (NCI),Bladder Cancer|Urethral Cancer,DRUG: carboplatin|DRUG: cisplatin|DRUG: gemcitabine hydrochloride|DRUG: paclitaxel|PROCEDURE: neoadjuvant therapy|RADIATION: radiation therapy,"MBCCOP - Gulf Coast, Mobile, Alabama, 36607, United States|CCOP - Western Regional, Arizona, Phoenix, Arizona, 85006-2726, United States|Veterans Affairs Medical Center - Phoenix (Carl T. Hayden), Phoenix, Arizona, 85012, United States|Veterans Affairs Medical Center - Tucson, Tucson, Arizona, 85723, United States|Arizona Cancer Center at University of Arizona Health Sciences Center, Tucson, Arizona, 85724, United States|Arkansas Cancer Research Center at University of Arkansas for Medical Sciences, Little Rock, Arkansas, 72205, United States|Veterans Affairs Medical Center - Little Rock, Little Rock, Arkansas, 72205, United States|City of Hope Comprehensive Cancer Center, Duarte, California, 91010-3000, United States|USC/Norris Comprehensive Cancer Center and Hospital, Los Angeles, California, 90033, United States|Jonsson Comprehensive Cancer Center at UCLA, Los Angeles, California, 90095-1781, United States|Veterans Affairs Outpatient Clinic - Martinez, Martinez, California, 94553, United States|CCOP - Bay Area Tumor Institute, Oakland, California, 94609-3305, United States|Chao Family Comprehensive Cancer Center at University of California Irvine Medical Center, Orange, California, 92868, United States|University of California Davis Cancer Center, Sacramento, California, 95817, United States|CCOP - Santa Rosa Memorial Hospital, Santa Rosa, California, 95403, United States|University of Colorado Cancer Center at University of Colorado Health Sciences Center, Aurora, Colorado, 80010, United States|Veterans Affairs Medical Center - Denver, Denver, Colorado, 80220, United States|MBCCOP - Howard University Cancer Center, Washington, District of Columbia, 20060, United States|Veterans Affairs Medical Center - Tampa (Haley), Tampa, Florida, 33612, United States|CCOP - Atlanta Regional, Atlanta, Georgia, 30342-1701, United States|MBCCOP - Hawaii, Honolulu, Hawaii, 96813, United States|MBCCOP - University of Illinois at Chicago, Chicago, Illinois, 60612, United States|Veterans Affairs Medical Center - Chicago Westside Hospital, Chicago, Illinois, 60612, United States|CCOP - Central Illinois, Decatur, Illinois, 62526, United States|Veterans Affairs Medical Center - Hines, Hines, Illinois, 60141, United States|Cardinal Bernardin Cancer Center at Loyola University Medical Center, Maywood, Illinois, 60153-5500, United States|Kansas Masonic Cancer Research Institute at the University of Kansas Medical Center, Kansas City, Kansas, 66160-7390, United States|CCOP - Wichita, Wichita, Kansas, 67214-3882, United States|Veterans Affairs Medical Center - Wichita, Wichita, Kansas, 67218, United States|Veterans Affairs Medical Center - Lexington, Lexington, Kentucky, 40502-2236, United States|Markey Cancer Center at University of Kentucky Chandler Medical Center, Lexington, Kentucky, 40536-0084, United States|MBCCOP - LSU Health Sciences Center, New Orleans, Louisiana, 70112, United States|Tulane Cancer Center at Tulane University Hospital and Clinic, New Orleans, Louisiana, 70112, United States|Veterans Affairs Medical Center - New Orleans, New Orleans, Louisiana, 70112, United States|Veterans Affairs Medical Center - Shreveport, Shreveport, Louisiana, 71101-4295, United States|Feist-Weiller Cancer Center at Louisiana State University Health Sciences, Shreveport, Louisiana, 71130-3932, United States|Cancer Research Center at Boston Medical Center, Boston, Massachusetts, 02118, United States|CCOP - Michigan Cancer Research Consortium, Ann Arbor, Michigan, 48106, United States|University of Michigan Comprehensive Cancer Center, Ann Arbor, Michigan, 48109-0946, United States|Barbara Ann Karmanos Cancer Institute, Detroit, Michigan, 48201-1379, United States|Veterans Affairs Medical Center - Detroit, Detroit, Michigan, 48201-1932, United States|Josephine Ford Cancer Center at Henry Ford Health System, Detroit, Michigan, 48202, United States|CCOP - Grand Rapids, Grand Rapids, Michigan, 49503, United States|CCOP - Beaumont, Royal Oak, Michigan, 48073-6769, United States|Providence Cancer Institute at Providence Hospital - Southfield Campus, Southfield, Michigan, 48075, United States|University of Mississippi Medical Center, Jackson, Mississippi, 39216-4505, United States|Veterans Affairs Medical Center - Jackson, Jackson, Mississippi, 39216, United States|CCOP - Kansas City, Kansas City, Missouri, 64131, United States|Saint Louis University Cancer Center, Saint Louis, Missouri, 63110, United States|CCOP - St. Louis-Cape Girardeau, Saint Louis, Missouri, 63141, United States|CCOP - Cancer Research for the Ozarks, Springfield, Missouri, 65807, United States|CCOP - Montana Cancer Consortium, Billings, Montana, 59101, United States|Veterans Affairs Medical Center - Albuquerque, Albuquerque, New Mexico, 87108-5138, United States|MBCCOP - University of New Mexico HSC, Albuquerque, New Mexico, 87131, United States|Western New York Urology Associates, Buffalo, New York, 14220, United States|NYU Cancer Institute at New York University Medical Center, New York, New York, 10016, United States|Herbert Irving Comprehensive Cancer Center at Columbia University, New York, New York, 10032, United States|James P. Wilmot Cancer Center at University of Rochester Medical Center, Rochester, New York, 14642, United States|CCOP - Southeast Cancer Control Consortium, Goldsboro, North Carolina, 27534-9479, United States|Veterans Affairs Medical Center - Cincinnati, Cincinnati, Ohio, 45220-2288, United States|Charles M. Barrett Cancer Center at University Hospital, Cincinnati, Ohio, 45267-0501, United States|Cleveland Clinic Taussig Cancer Center, Cleveland, Ohio, 44195-9001, United States|CCOP - Columbus, Columbus, Ohio, 43206, United States|Veterans Affairs Medical Center - Dayton, Dayton, Ohio, 45428-1002, United States|CCOP - Dayton, Dayton, Ohio, 45429, United States|Oklahoma University Medical Center, Oklahoma City, Oklahoma, 73104, United States|Cancer Institute at Oregon Health and Science University, Portland, Oregon, 97201-3098, United States|CCOP - Columbia River Oncology Program, Portland, Oregon, 97225, United States|Veterans Affairs Medical Center - Charleston, Charleston, South Carolina, 29401-5799, United States|Hollings Cancer Center at Medical University of South Carolina, Charleston, South Carolina, 29425, United States|CCOP - Greenville, Greenville, South Carolina, 29615, United States|CCOP - Upstate Carolina, Spartanburg, South Carolina, 29303, United States|University of Tennessee Cancer Institute at Methodist Central Hospital, Memphis, Tennessee, 38104, United States|Harrington Cancer Center, Amarillo, Texas, 79106, United States|Texas Tech University Health Sciences Center School of Medicine, Amarillo, Texas, 79106, United States|Veterans Affairs Medical Center - Amarillo, Amarillo, Texas, 79106, United States|Brooke Army Medical Center, Fort Sam Houston, Texas, 78234-6200, United States|University of Texas Medical Branch, Galveston, Texas, 77555-0565, United States|M.D. Anderson Cancer Center at University of Texas, Houston, Texas, 77030-4095, United States|Baylor College of Medicine, Houston, Texas, 77030, United States|UMC Southwest Cancer and Research Center, Lubbock, Texas, 79415-3364, United States|University of Texas Health Science Center at San Antonio, San Antonio, Texas, 78229-3900, United States|Veterans Affairs Medical Center - San Antonio (Murphy), San Antonio, Texas, 78229, United States|Veterans Affairs Medical Center - Temple, Temple, Texas, 76504, United States|CCOP - Scott and White Hospital, Temple, Texas, 76508, United States|Huntsman Cancer Institute at University of Utah, Salt Lake City, Utah, 84112-5550, United States|Veterans Affairs Medical Center - Salt Lake City, Salt Lake City, Utah, 84148, United States|Sentara Cancer Institute at Sentara Norfolk General Hospital, Norfolk, Virginia, 23510-1115, United States|CCOP - Virginia Mason Research Center, Seattle, Washington, 98101, United States|Veterans Affairs Medical Center - Seattle, Seattle, Washington, 98108, United States|Puget Sound Oncology Consortium, Seattle, Washington, 98109, United States|CCOP - Northwest, Tacoma, Washington, 98405-0986, United States","MBCCOP - Gulf Coast, Mobile, Alabama, 36607, United States|CCOP - Western Regional, Arizona, Phoenix, Arizona, 85006-2726, United States|Veterans Affairs Medical Center - Phoenix (Carl T. Hayden), Phoenix, Arizona, 85012, United States|Veterans Affairs Medical Center - Tucson, Tucson, Arizona, 85723, United States|Arizona Cancer Center at University of Arizona Health Sciences Center, Tucson, Arizona, 85724, United States|Arkansas Cancer Research Center at University of Arkansas for Medical Sciences, Little Rock, Arkansas, 72205, United States|Veterans Affairs Medical Center - Little Rock, Little Rock, Arkansas, 72205, United States|City of Hope Comprehensive Cancer Center, Duarte, California, 91010-3000, United States|USC/Norris Comprehensive Cancer Center and Hospital, Los Angeles, California, 90033, United States|Jonsson Comprehensive Cancer Center at UCLA, Los Angeles, California, 90095-1781, United States|Veterans Affairs Outpatient Clinic - Martinez, Martinez, California, 94553, United States|CCOP - Bay Area Tumor Institute, Oakland, California, 94609-3305, United States|Chao Family Comprehensive Cancer Center at University of California Irvine Medical Center, Orange, California, 92868, United States|University of California Davis Cancer Center, Sacramento, California, 95817, United States|CCOP - Santa Rosa Memorial Hospital, Santa Rosa, California, 95403, United States|University of Colorado Cancer Center at University of Colorado Health Sciences Center, Aurora, Colorado, 80010, United States|Veterans Affairs Medical Center - Denver, Denver, Colorado, 80220, United States|MBCCOP - Howard University Cancer Center, Washington, District of Columbia, 20060, United States|Veterans Affairs Medical Center - Tampa (Haley), Tampa, Florida, 33612, United States|CCOP - Atlanta Regional, Atlanta, Georgia, 30342-1701, United States|MBCCOP - Hawaii, Honolulu, Hawaii, 96813, United States|MBCCOP - University of Illinois at Chicago, Chicago, Illinois, 60612, United States|Veterans Affairs Medical Center - Chicago Westside Hospital, Chicago, Illinois, 60612, United States|CCOP - Central Illinois, Decatur, Illinois, 62526, United States|Veterans Affairs Medical Center - Hines, Hines, Illinois, 60141, United States|Cardinal Bernardin Cancer Center at Loyola University Medical Center, Maywood, Illinois, 60153-5500, United States|Kansas Masonic Cancer Research Institute at the University of Kansas Medical Center, Kansas City, Kansas, 66160-7390, United States|CCOP - Wichita, Wichita, Kansas, 67214-3882, United States|Veterans Affairs Medical Center - Wichita, Wichita, Kansas, 67218, United States|Veterans Affairs Medical Center - Lexington, Lexington, Kentucky, 40502-2236, United States|Markey Cancer Center at University of Kentucky Chandler Medical Center, Lexington, Kentucky, 40536-0084, United States|MBCCOP - LSU Health Sciences Center, New Orleans, Louisiana, 70112, United States|Tulane Cancer Center at Tulane University Hospital and Clinic, New Orleans, Louisiana, 70112, United States|Veterans Affairs Medical Center - New Orleans, New Orleans, Louisiana, 70112, United States|Veterans Affairs Medical Center - Shreveport, Shreveport, Louisiana, 71101-4295, United States|Feist-Weiller Cancer Center at Louisiana State University Health Sciences, Shreveport, Louisiana, 71130-3932, United States|Cancer Research Center at Boston Medical Center, Boston, Massachusetts, 02118, United States|CCOP - Michigan Cancer Research Consortium, Ann Arbor, Michigan, 48106, United States|University of Michigan Comprehensive Cancer Center, Ann Arbor, Michigan, 48109-0946, United States|Barbara Ann Karmanos Cancer Institute, Detroit, Michigan, 48201-1379, United States|Veterans Affairs Medical Center - Detroit, Detroit, Michigan, 48201-1932, United States|Josephine Ford Cancer Center at Henry Ford Health System, Detroit, Michigan, 48202, United States|CCOP - Grand Rapids, Grand Rapids, Michigan, 49503, United States|CCOP - Beaumont, Royal Oak, Michigan, 48073-6769, United States|Providence Cancer Institute at Providence Hospital - Southfield Campus, Southfield, Michigan, 48075, United States|University of Mississippi Medical Center, Jackson, Mississippi, 39216-4505, United States|Veterans Affairs Medical Center - Jackson, Jackson, Mississippi, 39216, United States|CCOP - Kansas City, Kansas City, Missouri, 64131, United States|Saint Louis University Cancer Center, Saint Louis, Missouri, 63110, United States|CCOP - St. Louis-Cape Girardeau, Saint Louis, Missouri, 63141, United States|CCOP - Cancer Research for the Ozarks, Springfield, Missouri, 65807, United States|CCOP - Montana Cancer Consortium, Billings, Montana, 59101, United States|Veterans Affairs Medical Center - Albuquerque, Albuquerque, New Mexico, 87108-5138, United States|MBCCOP - University of New Mexico HSC, Albuquerque, New Mexico, 87131, United States|Western New York Urology Associates, Buffalo, New York, 14220, United States|NYU Cancer Institute at New York University Medical Center, New York, New York, 10016, United States|Herbert Irving Comprehensive Cancer Center at Columbia University, New York, New York, 10032, United States|James P. Wilmot Cancer Center at University of Rochester Medical Center, Rochester, New York, 14642, United States|CCOP - Southeast Cancer Control Consortium, Goldsboro, North Carolina, 27534-9479, United States|Veterans Affairs Medical Center - Cincinnati, Cincinnati, Ohio, 45220-2288, United States|Charles M. Barrett Cancer Center at University Hospital, Cincinnati, Ohio, 45267-0501, United States|Cleveland Clinic Taussig Cancer Center, Cleveland, Ohio, 44195-9001, United States|CCOP - Columbus, Columbus, Ohio, 43206, United States|Veterans Affairs Medical Center - Dayton, Dayton, Ohio, 45428-1002, United States|CCOP - Dayton, Dayton, Ohio, 45429, United States|Oklahoma University Medical Center, Oklahoma City, Oklahoma, 73104, United States|Cancer Institute at Oregon Health and Science University, Portland, Oregon, 97201-3098, United States|CCOP - Columbia River Oncology Program, Portland, Oregon, 97225, United States|Veterans Affairs Medical Center - Charleston, Charleston, South Carolina, 29401-5799, United States|Hollings Cancer Center at Medical University of South Carolina, Charleston, South Carolina, 29425, United States|CCOP - Greenville, Greenville, South Carolina, 29615, United States|CCOP - Upstate Carolina, Spartanburg, South Carolina, 29303, United States|University of Tennessee Cancer Institute at Methodist Central Hospital, Memphis, Tennessee, 38104, United States|Harrington Cancer Center, Amarillo, Texas, 79106, United States|Texas Tech University Health Sciences Center School of Medicine, Amarillo, Texas, 79106, United States|Veterans Affairs Medical Center - Amarillo, Amarillo, Texas, 79106, United States|Brooke Army Medical Center, Fort Sam Houston, Texas, 78234-6200, United States|University of Texas Medical Branch, Galveston, Texas, 77555-0565, United States|M.D. Anderson Cancer Center at University of Texas, Houston, Texas, 77030-4095, United States|Baylor College of Medicine, Houston, Texas, 77030, United States|UMC Southwest Cancer and Research Center, Lubbock, Texas, 79415-3364, United States|University of Texas Health Science Center at San Antonio, San Antonio, Texas, 78229-3900, United States|Veterans Affairs Medical Center - San Antonio (Murphy), San Antonio, Texas, 78229, United States|Veterans Affairs Medical Center - Temple, Temple, Texas, 76504, United States|CCOP - Scott and White Hospital, Temple, Texas, 76508, United States|Huntsman Cancer Institute at University of Utah, Salt Lake City, Utah, 84112-5550, United States|Veterans Affairs Medical Center - Salt Lake City, Salt Lake City, Utah, 84148, United States|Sentara Cancer Institute at Sentara Norfolk General Hospital, Norfolk, Virginia, 23510-1115, United States|CCOP - Virginia Mason Research Center, Seattle, Washington, 98101, United States|Veterans Affairs Medical Center - Seattle, Seattle, Washington, 98108, United States|Puget Sound Oncology Consortium, Seattle, Washington, 98109, United States|CCOP - Northwest, Tacoma, Washington, 98405-0986, United States",MBCCOP - Gulf Coast,Mobile,United States
NCT06770582,"Testing the Addition of the Immunotherapy Drug, Pembrolizumab, to Radiation Therapy Compared to the Usual Chemotherapy Treatment During Radiation Therapy for Bladder Cancer, the PARRC Trial",PHASE2,RECRUITING,160.0,2025-12-02,2032-02-01,National Cancer Institute (NCI),,Non-Muscle Invasive Bladder Urothelial Carcinoma|Recurrent Non-Muscle Invasive Bladder Urothelial Carcinoma|Stage I Bladder Cancer AJCC v8,PROCEDURE: Biospecimen Collection|DRUG: Cisplatin|PROCEDURE: Computed Tomography|DRUG: Fluorouracil|DRUG: Gemcitabine|PROCEDURE: Magnetic Resonance Imaging|DRUG: Mitomycin|BIOLOGICAL: Pembrolizumab|OTHER: Questionnaire Administration|RADIATION: Radiation Therapy,"AIS Cancer Center at San Joaquin Community Hospital, Bakersfield, California, 93301, United States|Cancer Care Specialists of Illinois - Decatur, Decatur, Illinois, 62526, United States|Decatur Memorial Hospital, Decatur, Illinois, 62526, United States|Crossroads Cancer Center, Effingham, Illinois, 62401, United States|Southern Illinois University School of Medicine, Springfield, Illinois, 62702, United States|Springfield Clinic, Springfield, Illinois, 62702, United States|Springfield Memorial Hospital, Springfield, Illinois, 62781, United States|Mary Bird Perkins Cancer Center - Metairie, Metairie, Louisiana, 70002, United States|Saint Francis Medical Center, Cape Girardeau, Missouri, 63703, United States|University of Oklahoma Health Sciences Center, Oklahoma City, Oklahoma, 73104, United States|Bon Secours Memorial Regional Medical Center, Mechanicsville, Virginia, 23116, United States|Bon Secours Saint Francis Medical Center, Midlothian, Virginia, 23114, United States|Bon Secours Saint Mary's Hospital, Richmond, Virginia, 23226, United States|Bon Secours Cancer Institute at Reynolds Crossing, Richmond, Virginia, 23230, United States","AIS Cancer Center at San Joaquin Community Hospital, Bakersfield, California, 93301, United States|Cancer Care Specialists of Illinois - Decatur, Decatur, Illinois, 62526, United States|Decatur Memorial Hospital, Decatur, Illinois, 62526, United States|Crossroads Cancer Center, Effingham, Illinois, 62401, United States|Southern Illinois University School of Medicine, Springfield, Illinois, 62702, United States|Springfield Clinic, Springfield, Illinois, 62702, United States|Springfield Memorial Hospital, Springfield, Illinois, 62781, United States|Mary Bird Perkins Cancer Center - Metairie, Metairie, Louisiana, 70002, United States|Saint Francis Medical Center, Cape Girardeau, Missouri, 63703, United States|University of Oklahoma Health Sciences Center, Oklahoma City, Oklahoma, 73104, United States|Bon Secours Memorial Regional Medical Center, Mechanicsville, Virginia, 23116, United States|Bon Secours Saint Francis Medical Center, Midlothian, Virginia, 23114, United States|Bon Secours Saint Mary's Hospital, Richmond, Virginia, 23226, United States|Bon Secours Cancer Institute at Reynolds Crossing, Richmond, Virginia, 23230, United States",AIS Cancer Center at San Joaquin Community Hospital,Bakersfield,United States
NCT01108003,Broccoli Sprout Extract in Treating Patients With Transitional Cell Bladder Cancer Undergoing Surgery,,TERMINATED,7.0,2010-04,2014-09,Roswell Park Cancer Institute,Johns Hopkins University|National Cancer Institute (NCI),Recurrent Bladder Cancer|Stage 0 Bladder Cancer|Stage I Bladder Cancer|Stage II Bladder Cancer|Transitional Cell Carcinoma of the Bladder,DRUG: broccoli sprout extract|OTHER: laboratory biomarker analysis|OTHER: Mango Juice,"Roswell Park Cancer Institute, Buffalo, New York, 14263, United States","Roswell Park Cancer Institute, Buffalo, New York, 14263, United States",Roswell Park Cancer Institute,Buffalo,United States
NCT01240824,Study of BCG + Aminophylline Toxicity When Used in the Treatment of Bladder Cancer,EARLY_PHASE1,COMPLETED,3.0,2010-07,2011-02,University of Virginia,,Bladder Cancer,DRUG: aminophylline,"University of Virginia Urology Department, Charlottesville, Virginia, 22908, United States","University of Virginia Urology Department, Charlottesville, Virginia, 22908, United States",University of Virginia Urology Department,Charlottesville,United States
NCT03291028,Analysis of Primary and Metastatic Tumors in Patients With Renal Cell Carcinoma and Urothelial Carcinoma,,RECRUITING,16.0,2017-11-27,2025-12,Fox Chase Cancer Center,,Renal Cell Carcinoma|Urothelial Carcinoma|Bladder Cancer|Ureter Cancer|Urethral Cancer,BIOLOGICAL: Immune checkpoint inhibitor targeting PD1,"Fox Chase Cancer Center - Philadelphia, Philadelphia, Pennsylvania, 19111-2497, United States","Fox Chase Cancer Center - Philadelphia, Philadelphia, Pennsylvania, 19111-2497, United States",Fox Chase Cancer Center - Philadelphia,Philadelphia,United States
NCT00003701,Combination Chemotherapy in Treating Patients With Bladder Cancer,PHASE3,COMPLETED,490.0,1999-04-02,2001-08,Eastern Cooperative Oncology Group,National Cancer Institute (NCI),Bladder Cancer|Urethral Cancer,DRUG: carboplatin|DRUG: cisplatin|DRUG: doxorubicin hydrochloride|DRUG: methotrexate|DRUG: paclitaxel|DRUG: vinblastine sulfate,"Veterans Affairs Medical Center - Atlanta (Decatur), Decatur, Georgia, 30033, United States|Indiana University Hospitals, Indianapolis, Indiana, 46202, United States|Hunterdon Regional Cancer Center, Flemington, New Jersey, 08822, United States|Hackensack University Medical Center, Hackensack, New Jersey, 07601, United States|South Jersey Hospital - Millville, Millville, New Jersey, 08332, United States|Fox Chase Cancer Center at Virtua-Memorial Hospital Burlington County, Mount Holly, New Jersey, 08060, United States|Riverview Medical Center, Red Bank, New Jersey, 07701, United States|Overlook Hospital, Summit, New Jersey, 07902-0220, United States|Veterans Affairs Medical Center - New York, New York, New York, 10010, United States|NYU School of Medicine's Kaplan Comprehensive Cancer Center, New York, New York, 10016, United States|Cleveland Clinic Taussig Cancer Center, Cleveland, Ohio, 44195, United States|Hahnemann University Hospital, Philadelphia, Pennsylvania, 19102-1192, United States|Vanderbilt Cancer Center, Nashville, Tennessee, 37232-6838, United States","Veterans Affairs Medical Center - Atlanta (Decatur), Decatur, Georgia, 30033, United States|Indiana University Hospitals, Indianapolis, Indiana, 46202, United States|Hunterdon Regional Cancer Center, Flemington, New Jersey, 08822, United States|Hackensack University Medical Center, Hackensack, New Jersey, 07601, United States|South Jersey Hospital - Millville, Millville, New Jersey, 08332, United States|Fox Chase Cancer Center at Virtua-Memorial Hospital Burlington County, Mount Holly, New Jersey, 08060, United States|Riverview Medical Center, Red Bank, New Jersey, 07701, United States|Overlook Hospital, Summit, New Jersey, 07902-0220, United States|Veterans Affairs Medical Center - New York, New York, New York, 10010, United States|NYU School of Medicine's Kaplan Comprehensive Cancer Center, New York, New York, 10016, United States|Cleveland Clinic Taussig Cancer Center, Cleveland, Ohio, 44195, United States|Hahnemann University Hospital, Philadelphia, Pennsylvania, 19102-1192, United States|Vanderbilt Cancer Center, Nashville, Tennessee, 37232-6838, United States",Veterans Affairs Medical Center - Atlanta (Decatur),Decatur,United States
NCT05644041,Intravesical Gemcitabine in Patients With NMIBC,PHASE2,SUSPENDED,25.0,2023-03-01,2026-01-31,University of Arizona,,Urinary Bladder Cancer,DRUG: Gemcitabine,"University of Arizona Cancer Center, Tucson, Arizona, 85721, United States","University of Arizona Cancer Center, Tucson, Arizona, 85721, United States",University of Arizona Cancer Center,Tucson,United States
NCT00588666,"Phase II Trial of Gemcitabine, Carboplatin, and Bevacizumab in Chemotherapy Naive Patients With Advanced/Metastatic Urothelial Carcinoma",PHASE2,COMPLETED,51.0,2006-05,2011-12,Memorial Sloan Kettering Cancer Center,,Myeloproliferative Disorder|Urothelial Carcinoma|Cancer,DRUG: Bevacizumab|DRUG: Carboplatin|DRUG: Gemcitabine,"Memorial Sloan-Kettering at Basking Ridge, Basking Ridge, New Jersey, 07920, United States|Memoral Sloan Kettering Cancer Center, Basking Ridge, New Jersey, United States|Memorial Sloan-Kettering Cancer Center @ Suffolk, Commack, New York, 11725, United States|Memorial Sloan-Kettering Cancer Center, New York, New York, 10065, United States|Memorial Sloan-Kettering Cancer Center at Mercy Medical Center, Rockville Centre, New York, 11570, United States|Memoral Sloan Kettering Cancer Center@Phelps, Sleepy Hollow, New York, United States","Memorial Sloan-Kettering at Basking Ridge, Basking Ridge, New Jersey, 07920, United States|Memoral Sloan Kettering Cancer Center, Basking Ridge, New Jersey, United States|Memorial Sloan-Kettering Cancer Center @ Suffolk, Commack, New York, 11725, United States|Memorial Sloan-Kettering Cancer Center, New York, New York, 10065, United States|Memorial Sloan-Kettering Cancer Center at Mercy Medical Center, Rockville Centre, New York, 11570, United States|Memoral Sloan Kettering Cancer Center@Phelps, Sleepy Hollow, New York, United States",Memorial Sloan-Kettering at Basking Ridge,Basking Ridge,United States
